drug1,drug2,severity,effect
Alprazolam,Fentanyl,Major,"Concomitant use of benzodiazepine Alprazolam and opioid Fentanyl may result in profound sedation, respiratory depression, coma, and death."
Alprazolam,Oxycodone,Major,"Concomitant use of benzodiazepine Alprazolam and opioid Oxycodone may result in profound sedation, respiratory depression, coma, and death."
Alprazolam,Hydrocodone,Major,"Concomitant use of benzodiazepine Alprazolam and opioid Hydrocodone may result in profound sedation, respiratory depression, coma, and death."
Midazolam,Tramadol,Major,"Concomitant use of benzodiazepine Midazolam and opioid Tramadol may result in profound sedation, respiratory depression, coma, and death."
Midazolam,Morphine,Major,"Concomitant use of benzodiazepine Midazolam and opioid Morphine may result in profound sedation, respiratory depression, coma, and death."
Midazolam,Codeine,Major,"Concomitant use of benzodiazepine Midazolam and opioid Codeine may result in profound sedation, respiratory depression, coma, and death."
Midazolam,Fentanyl,Major,"Concomitant use of benzodiazepine Midazolam and opioid Fentanyl may result in profound sedation, respiratory depression, coma, and death."
Midazolam,Oxycodone,Major,"Concomitant use of benzodiazepine Midazolam and opioid Oxycodone may result in profound sedation, respiratory depression, coma, and death."
Midazolam,Hydrocodone,Major,"Concomitant use of benzodiazepine Midazolam and opioid Hydrocodone may result in profound sedation, respiratory depression, coma, and death."
Lorazepam,Tramadol,Major,"Concomitant use of benzodiazepine Lorazepam and opioid Tramadol may result in profound sedation, respiratory depression, coma, and death."
Lorazepam,Morphine,Major,"Concomitant use of benzodiazepine Lorazepam and opioid Morphine may result in profound sedation, respiratory depression, coma, and death."
Lorazepam,Codeine,Major,"Concomitant use of benzodiazepine Lorazepam and opioid Codeine may result in profound sedation, respiratory depression, coma, and death."
Lorazepam,Fentanyl,Major,"Concomitant use of benzodiazepine Lorazepam and opioid Fentanyl may result in profound sedation, respiratory depression, coma, and death."
Lorazepam,Oxycodone,Major,"Concomitant use of benzodiazepine Lorazepam and opioid Oxycodone may result in profound sedation, respiratory depression, coma, and death."
Lorazepam,Hydrocodone,Major,"Concomitant use of benzodiazepine Lorazepam and opioid Hydrocodone may result in profound sedation, respiratory depression, coma, and death."
Clonazepam,Tramadol,Major,"Concomitant use of benzodiazepine Clonazepam and opioid Tramadol may result in profound sedation, respiratory depression, coma, and death."
Clonazepam,Morphine,Major,"Concomitant use of benzodiazepine Clonazepam and opioid Morphine may result in profound sedation, respiratory depression, coma, and death."
Clonazepam,Codeine,Major,"Concomitant use of benzodiazepine Clonazepam and opioid Codeine may result in profound sedation, respiratory depression, coma, and death."
Clonazepam,Fentanyl,Major,"Concomitant use of benzodiazepine Clonazepam and opioid Fentanyl may result in profound sedation, respiratory depression, coma, and death."
Clonazepam,Oxycodone,Major,"Concomitant use of benzodiazepine Clonazepam and opioid Oxycodone may result in profound sedation, respiratory depression, coma, and death."
Clonazepam,Hydrocodone,Major,"Concomitant use of benzodiazepine Clonazepam and opioid Hydrocodone may result in profound sedation, respiratory depression, coma, and death."
Temazepam,Tramadol,Major,"Concomitant use of benzodiazepine Temazepam and opioid Tramadol may result in profound sedation, respiratory depression, coma, and death."
Temazepam,Morphine,Major,"Concomitant use of benzodiazepine Temazepam and opioid Morphine may result in profound sedation, respiratory depression, coma, and death."
Temazepam,Codeine,Major,"Concomitant use of benzodiazepine Temazepam and opioid Codeine may result in profound sedation, respiratory depression, coma, and death."
Temazepam,Fentanyl,Major,"Concomitant use of benzodiazepine Temazepam and opioid Fentanyl may result in profound sedation, respiratory depression, coma, and death."
Temazepam,Oxycodone,Major,"Concomitant use of benzodiazepine Temazepam and opioid Oxycodone may result in profound sedation, respiratory depression, coma, and death."
Temazepam,Hydrocodone,Major,"Concomitant use of benzodiazepine Temazepam and opioid Hydrocodone may result in profound sedation, respiratory depression, coma, and death."
Metformin,Metoprolol,Moderate,Beta blocker Metoprolol may mask symptoms of hypoglycemia caused by Metformin.
Metformin,Atenolol,Moderate,Beta blocker Atenolol may mask symptoms of hypoglycemia caused by Metformin.
Metformin,Propranolol,Moderate,Beta blocker Propranolol may mask symptoms of hypoglycemia caused by Metformin.
Metformin,Carvedilol,Moderate,Beta blocker Carvedilol may mask symptoms of hypoglycemia caused by Metformin.
Metformin,Bisoprolol,Moderate,Beta blocker Bisoprolol may mask symptoms of hypoglycemia caused by Metformin.
Metformin,Nebivolol,Moderate,Beta blocker Nebivolol may mask symptoms of hypoglycemia caused by Metformin.
Glibenclamide,Metoprolol,Moderate,Beta blocker Metoprolol may mask symptoms of hypoglycemia caused by Glibenclamide.
Glibenclamide,Atenolol,Moderate,Beta blocker Atenolol may mask symptoms of hypoglycemia caused by Glibenclamide.
Glibenclamide,Propranolol,Moderate,Beta blocker Propranolol may mask symptoms of hypoglycemia caused by Glibenclamide.
Glibenclamide,Carvedilol,Moderate,Beta blocker Carvedilol may mask symptoms of hypoglycemia caused by Glibenclamide.
Glibenclamide,Bisoprolol,Moderate,Beta blocker Bisoprolol may mask symptoms of hypoglycemia caused by Glibenclamide.
Glibenclamide,Nebivolol,Moderate,Beta blocker Nebivolol may mask symptoms of hypoglycemia caused by Glibenclamide.
Insulin,Metoprolol,Moderate,Beta blocker Metoprolol may mask symptoms of hypoglycemia caused by Insulin.
Insulin,Atenolol,Moderate,Beta blocker Atenolol may mask symptoms of hypoglycemia caused by Insulin.
Insulin,Propranolol,Moderate,Beta blocker Propranolol may mask symptoms of hypoglycemia caused by Insulin.
Insulin,Carvedilol,Moderate,Beta blocker Carvedilol may mask symptoms of hypoglycemia caused by Insulin.
Insulin,Bisoprolol,Moderate,Beta blocker Bisoprolol may mask symptoms of hypoglycemia caused by Insulin.
Insulin,Nebivolol,Moderate,Beta blocker Nebivolol may mask symptoms of hypoglycemia caused by Insulin.
Glimepiride,Metoprolol,Moderate,Beta blocker Metoprolol may mask symptoms of hypoglycemia caused by Glimepiride.
Glimepiride,Atenolol,Moderate,Beta blocker Atenolol may mask symptoms of hypoglycemia caused by Glimepiride.
Glimepiride,Propranolol,Moderate,Beta blocker Propranolol may mask symptoms of hypoglycemia caused by Glimepiride.
Glimepiride,Carvedilol,Moderate,Beta blocker Carvedilol may mask symptoms of hypoglycemia caused by Glimepiride.
Glimepiride,Bisoprolol,Moderate,Beta blocker Bisoprolol may mask symptoms of hypoglycemia caused by Glimepiride.
Glimepiride,Nebivolol,Moderate,Beta blocker Nebivolol may mask symptoms of hypoglycemia caused by Glimepiride.
Pioglitazone,Metoprolol,Moderate,Beta blocker Metoprolol may mask symptoms of hypoglycemia caused by Pioglitazone.
Pioglitazone,Atenolol,Moderate,Beta blocker Atenolol may mask symptoms of hypoglycemia caused by Pioglitazone.
Pioglitazone,Propranolol,Moderate,Beta blocker Propranolol may mask symptoms of hypoglycemia caused by Pioglitazone.
Pioglitazone,Carvedilol,Moderate,Beta blocker Carvedilol may mask symptoms of hypoglycemia caused by Pioglitazone.
Pioglitazone,Bisoprolol,Moderate,Beta blocker Bisoprolol may mask symptoms of hypoglycemia caused by Pioglitazone.
Pioglitazone,Nebivolol,Moderate,Beta blocker Nebivolol may mask symptoms of hypoglycemia caused by Pioglitazone.
Sitagliptin,Metoprolol,Moderate,Beta blocker Metoprolol may mask symptoms of hypoglycemia caused by Sitagliptin.
Sitagliptin,Atenolol,Moderate,Beta blocker Atenolol may mask symptoms of hypoglycemia caused by Sitagliptin.
Sitagliptin,Propranolol,Moderate,Beta blocker Propranolol may mask symptoms of hypoglycemia caused by Sitagliptin.
Sitagliptin,Carvedilol,Moderate,Beta blocker Carvedilol may mask symptoms of hypoglycemia caused by Sitagliptin.
Sitagliptin,Bisoprolol,Moderate,Beta blocker Bisoprolol may mask symptoms of hypoglycemia caused by Sitagliptin.
Sitagliptin,Nebivolol,Moderate,Beta blocker Nebivolol may mask symptoms of hypoglycemia caused by Sitagliptin.
Empagliflozin,Metoprolol,Moderate,Beta blocker Metoprolol may mask symptoms of hypoglycemia caused by Empagliflozin.
Empagliflozin,Atenolol,Moderate,Beta blocker Atenolol may mask symptoms of hypoglycemia caused by Empagliflozin.
Empagliflozin,Propranolol,Moderate,Beta blocker Propranolol may mask symptoms of hypoglycemia caused by Empagliflozin.
Empagliflozin,Carvedilol,Moderate,Beta blocker Carvedilol may mask symptoms of hypoglycemia caused by Empagliflozin.
Empagliflozin,Bisoprolol,Moderate,Beta blocker Bisoprolol may mask symptoms of hypoglycemia caused by Empagliflozin.
Empagliflozin,Nebivolol,Moderate,Beta blocker Nebivolol may mask symptoms of hypoglycemia caused by Empagliflozin.
Lisinopril,Aspirin,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Lisinopril and Aspirin.
Lisinopril,Ibuprofen,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Lisinopril and Ibuprofen.
Lisinopril,Naproxen,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Lisinopril and Naproxen.
Lisinopril,Diclofenac,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Lisinopril and Diclofenac.
Lisinopril,Celecoxib,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Lisinopril and Celecoxib.
Lisinopril,Meloxicam,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Lisinopril and Meloxicam.
Lisinopril,Ketorolac,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Lisinopril and Ketorolac.
Lisinopril,Indomethacin,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Lisinopril and Indomethacin.
Lisinopril,Piroxicam,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Lisinopril and Piroxicam.
Ramipril,Aspirin,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Ramipril and Aspirin.
Ramipril,Ibuprofen,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Ramipril and Ibuprofen.
Ramipril,Naproxen,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Ramipril and Naproxen.
Ramipril,Diclofenac,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Ramipril and Diclofenac.
Ramipril,Celecoxib,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Ramipril and Celecoxib.
Ramipril,Meloxicam,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Ramipril and Meloxicam.
Ramipril,Ketorolac,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Ramipril and Ketorolac.
Ramipril,Indomethacin,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Ramipril and Indomethacin.
Ramipril,Piroxicam,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Ramipril and Piroxicam.
Captopril,Aspirin,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Captopril and Aspirin.
Captopril,Ibuprofen,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Captopril and Ibuprofen.
Captopril,Naproxen,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Captopril and Naproxen.
Captopril,Diclofenac,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Captopril and Diclofenac.
Captopril,Celecoxib,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Captopril and Celecoxib.
Captopril,Meloxicam,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Captopril and Meloxicam.
Captopril,Ketorolac,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Captopril and Ketorolac.
Captopril,Indomethacin,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Captopril and Indomethacin.
Captopril,Piroxicam,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Captopril and Piroxicam.
Enalapril,Aspirin,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Enalapril and Aspirin.
Enalapril,Ibuprofen,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Enalapril and Ibuprofen.
Enalapril,Naproxen,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Enalapril and Naproxen.
Enalapril,Diclofenac,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Enalapril and Diclofenac.
Enalapril,Celecoxib,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Enalapril and Celecoxib.
Enalapril,Meloxicam,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Enalapril and Meloxicam.
Enalapril,Ketorolac,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Enalapril and Ketorolac.
Enalapril,Indomethacin,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Enalapril and Indomethacin.
Enalapril,Piroxicam,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Enalapril and Piroxicam.
Fosinopril,Aspirin,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Fosinopril and Aspirin.
Fosinopril,Ibuprofen,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Fosinopril and Ibuprofen.
Fosinopril,Naproxen,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Fosinopril and Naproxen.
Fosinopril,Diclofenac,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Fosinopril and Diclofenac.
Fosinopril,Celecoxib,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Fosinopril and Celecoxib.
Fosinopril,Meloxicam,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Fosinopril and Meloxicam.
Fosinopril,Ketorolac,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Fosinopril and Ketorolac.
Fosinopril,Indomethacin,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Fosinopril and Indomethacin.
Fosinopril,Piroxicam,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Fosinopril and Piroxicam.
Quinapril,Aspirin,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Quinapril and Aspirin.
Quinapril,Ibuprofen,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Quinapril and Ibuprofen.
Quinapril,Naproxen,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Quinapril and Naproxen.
Quinapril,Diclofenac,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Quinapril and Diclofenac.
Quinapril,Celecoxib,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Quinapril and Celecoxib.
Quinapril,Meloxicam,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Quinapril and Meloxicam.
Quinapril,Ketorolac,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Quinapril and Ketorolac.
Quinapril,Indomethacin,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Quinapril and Indomethacin.
Quinapril,Piroxicam,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Quinapril and Piroxicam.
Trandolapril,Aspirin,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Trandolapril and Aspirin.
Trandolapril,Ibuprofen,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Trandolapril and Ibuprofen.
Trandolapril,Naproxen,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Trandolapril and Naproxen.
Trandolapril,Diclofenac,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Trandolapril and Diclofenac.
Trandolapril,Celecoxib,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Trandolapril and Celecoxib.
Trandolapril,Meloxicam,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Trandolapril and Meloxicam.
Trandolapril,Ketorolac,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Trandolapril and Ketorolac.
Trandolapril,Indomethacin,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Trandolapril and Indomethacin.
Trandolapril,Piroxicam,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Trandolapril and Piroxicam.
Losartan,Aspirin,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Losartan and Aspirin.
Losartan,Ibuprofen,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Losartan and Ibuprofen.
Losartan,Naproxen,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Losartan and Naproxen.
Losartan,Diclofenac,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Losartan and Diclofenac.
Losartan,Celecoxib,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Losartan and Celecoxib.
Losartan,Meloxicam,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Losartan and Meloxicam.
Losartan,Ketorolac,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Losartan and Ketorolac.
Losartan,Indomethacin,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Losartan and Indomethacin.
Losartan,Piroxicam,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Losartan and Piroxicam.
Valsartan,Aspirin,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Valsartan and Aspirin.
Valsartan,Ibuprofen,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Valsartan and Ibuprofen.
Valsartan,Naproxen,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Valsartan and Naproxen.
Valsartan,Diclofenac,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Valsartan and Diclofenac.
Valsartan,Celecoxib,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Valsartan and Celecoxib.
Valsartan,Meloxicam,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Valsartan and Meloxicam.
Valsartan,Ketorolac,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Valsartan and Ketorolac.
Valsartan,Indomethacin,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Valsartan and Indomethacin.
Valsartan,Piroxicam,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Valsartan and Piroxicam.
Candesartan,Aspirin,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Candesartan and Aspirin.
Candesartan,Ibuprofen,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Candesartan and Ibuprofen.
Candesartan,Naproxen,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Candesartan and Naproxen.
Candesartan,Diclofenac,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Candesartan and Diclofenac.
Candesartan,Celecoxib,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Candesartan and Celecoxib.
Candesartan,Meloxicam,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Candesartan and Meloxicam.
Candesartan,Ketorolac,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Candesartan and Ketorolac.
Candesartan,Indomethacin,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Candesartan and Indomethacin.
Candesartan,Piroxicam,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Candesartan and Piroxicam.
Irbesartan,Aspirin,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Irbesartan and Aspirin.
Irbesartan,Ibuprofen,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Irbesartan and Ibuprofen.
Irbesartan,Naproxen,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Irbesartan and Naproxen.
Irbesartan,Diclofenac,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Irbesartan and Diclofenac.
Irbesartan,Celecoxib,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Irbesartan and Celecoxib.
Irbesartan,Meloxicam,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Irbesartan and Meloxicam.
Irbesartan,Ketorolac,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Irbesartan and Ketorolac.
Irbesartan,Indomethacin,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Irbesartan and Indomethacin.
Irbesartan,Piroxicam,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Irbesartan and Piroxicam.
Olmesartan,Aspirin,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Olmesartan and Aspirin.
Olmesartan,Ibuprofen,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Olmesartan and Ibuprofen.
Olmesartan,Naproxen,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Olmesartan and Naproxen.
Olmesartan,Diclofenac,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Olmesartan and Diclofenac.
Olmesartan,Celecoxib,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Olmesartan and Celecoxib.
Olmesartan,Meloxicam,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Olmesartan and Meloxicam.
Olmesartan,Ketorolac,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Olmesartan and Ketorolac.
Olmesartan,Indomethacin,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Olmesartan and Indomethacin.
Olmesartan,Piroxicam,Moderate,Increased risk of acute kidney injury and reduced blood pressure control when combining Olmesartan and Piroxicam.
Ciprofloxacin,Antacid,Moderate,Reduced absorption. Divalent or trivalent cations in Antacid bind to Ciprofloxacin and lower its blood levels.
Ciprofloxacin,Calcium Carbonate,Moderate,Reduced absorption. Divalent or trivalent cations in Calcium Carbonate bind to Ciprofloxacin and lower its blood levels.
Ciprofloxacin,Ferrous Sulfate,Moderate,Reduced absorption. Divalent or trivalent cations in Ferrous Sulfate bind to Ciprofloxacin and lower its blood levels.
Ciprofloxacin,Magnesium Hydroxide,Moderate,Reduced absorption. Divalent or trivalent cations in Magnesium Hydroxide bind to Ciprofloxacin and lower its blood levels.
Ciprofloxacin,Zinc Sulfate,Moderate,Reduced absorption. Divalent or trivalent cations in Zinc Sulfate bind to Ciprofloxacin and lower its blood levels.
Levofloxacin,Antacid,Moderate,Reduced absorption. Divalent or trivalent cations in Antacid bind to Levofloxacin and lower its blood levels.
Levofloxacin,Calcium Carbonate,Moderate,Reduced absorption. Divalent or trivalent cations in Calcium Carbonate bind to Levofloxacin and lower its blood levels.
Levofloxacin,Ferrous Sulfate,Moderate,Reduced absorption. Divalent or trivalent cations in Ferrous Sulfate bind to Levofloxacin and lower its blood levels.
Levofloxacin,Magnesium Hydroxide,Moderate,Reduced absorption. Divalent or trivalent cations in Magnesium Hydroxide bind to Levofloxacin and lower its blood levels.
Levofloxacin,Zinc Sulfate,Moderate,Reduced absorption. Divalent or trivalent cations in Zinc Sulfate bind to Levofloxacin and lower its blood levels.
Moxifloxacin,Antacid,Moderate,Reduced absorption. Divalent or trivalent cations in Antacid bind to Moxifloxacin and lower its blood levels.
Moxifloxacin,Calcium Carbonate,Moderate,Reduced absorption. Divalent or trivalent cations in Calcium Carbonate bind to Moxifloxacin and lower its blood levels.
Moxifloxacin,Ferrous Sulfate,Moderate,Reduced absorption. Divalent or trivalent cations in Ferrous Sulfate bind to Moxifloxacin and lower its blood levels.
Moxifloxacin,Magnesium Hydroxide,Moderate,Reduced absorption. Divalent or trivalent cations in Magnesium Hydroxide bind to Moxifloxacin and lower its blood levels.
Moxifloxacin,Zinc Sulfate,Moderate,Reduced absorption. Divalent or trivalent cations in Zinc Sulfate bind to Moxifloxacin and lower its blood levels.
Ofloxacin,Antacid,Moderate,Reduced absorption. Divalent or trivalent cations in Antacid bind to Ofloxacin and lower its blood levels.
Ofloxacin,Calcium Carbonate,Moderate,Reduced absorption. Divalent or trivalent cations in Calcium Carbonate bind to Ofloxacin and lower its blood levels.
Ofloxacin,Ferrous Sulfate,Moderate,Reduced absorption. Divalent or trivalent cations in Ferrous Sulfate bind to Ofloxacin and lower its blood levels.
Ofloxacin,Magnesium Hydroxide,Moderate,Reduced absorption. Divalent or trivalent cations in Magnesium Hydroxide bind to Ofloxacin and lower its blood levels.
Ofloxacin,Zinc Sulfate,Moderate,Reduced absorption. Divalent or trivalent cations in Zinc Sulfate bind to Ofloxacin and lower its blood levels.
Atorvastatin,Antacid,Moderate,Antacids reduce Atorvastatin plasma concentration. Take antacids at least 2 hours after statin.
Atorvastatin,Magnesium Hydroxide,Moderate,Antacids reduce Atorvastatin plasma concentration. Take antacids at least 2 hours after statin.
Atorvastatin,Aluminum Hydroxide,Moderate,Antacids reduce Atorvastatin plasma concentration. Take antacids at least 2 hours after statin.
Simvastatin,Antacid,Moderate,Antacids reduce Simvastatin plasma concentration. Take antacids at least 2 hours after statin.
Simvastatin,Magnesium Hydroxide,Moderate,Antacids reduce Simvastatin plasma concentration. Take antacids at least 2 hours after statin.
Simvastatin,Aluminum Hydroxide,Moderate,Antacids reduce Simvastatin plasma concentration. Take antacids at least 2 hours after statin.
Rosuvastatin,Antacid,Moderate,Antacids reduce Rosuvastatin plasma concentration. Take antacids at least 2 hours after statin.
Rosuvastatin,Magnesium Hydroxide,Moderate,Antacids reduce Rosuvastatin plasma concentration. Take antacids at least 2 hours after statin.
Rosuvastatin,Aluminum Hydroxide,Moderate,Antacids reduce Rosuvastatin plasma concentration. Take antacids at least 2 hours after statin.
Pravastatin,Antacid,Moderate,Antacids reduce Pravastatin plasma concentration. Take antacids at least 2 hours after statin.
Pravastatin,Magnesium Hydroxide,Moderate,Antacids reduce Pravastatin plasma concentration. Take antacids at least 2 hours after statin.
Pravastatin,Aluminum Hydroxide,Moderate,Antacids reduce Pravastatin plasma concentration. Take antacids at least 2 hours after statin.
Lovastatin,Antacid,Moderate,Antacids reduce Lovastatin plasma concentration. Take antacids at least 2 hours after statin.
Lovastatin,Magnesium Hydroxide,Moderate,Antacids reduce Lovastatin plasma concentration. Take antacids at least 2 hours after statin.
Lovastatin,Aluminum Hydroxide,Moderate,Antacids reduce Lovastatin plasma concentration. Take antacids at least 2 hours after statin.
Fluvastatin,Antacid,Moderate,Antacids reduce Fluvastatin plasma concentration. Take antacids at least 2 hours after statin.
Fluvastatin,Magnesium Hydroxide,Moderate,Antacids reduce Fluvastatin plasma concentration. Take antacids at least 2 hours after statin.
Fluvastatin,Aluminum Hydroxide,Moderate,Antacids reduce Fluvastatin plasma concentration. Take antacids at least 2 hours after statin.
Sertraline,Aspirin,Moderate,SSRI Sertraline combined with NSAID/Aspirin Aspirin increases risk of gastrointestinal bleeding.
Sertraline,Ibuprofen,Moderate,SSRI Sertraline combined with NSAID/Aspirin Ibuprofen increases risk of gastrointestinal bleeding.
Sertraline,Naproxen,Moderate,SSRI Sertraline combined with NSAID/Aspirin Naproxen increases risk of gastrointestinal bleeding.
Sertraline,Diclofenac,Moderate,SSRI Sertraline combined with NSAID/Aspirin Diclofenac increases risk of gastrointestinal bleeding.
Sertraline,Celecoxib,Moderate,SSRI Sertraline combined with NSAID/Aspirin Celecoxib increases risk of gastrointestinal bleeding.
Sertraline,Meloxicam,Moderate,SSRI Sertraline combined with NSAID/Aspirin Meloxicam increases risk of gastrointestinal bleeding.
Sertraline,Ketorolac,Moderate,SSRI Sertraline combined with NSAID/Aspirin Ketorolac increases risk of gastrointestinal bleeding.
Sertraline,Indomethacin,Moderate,SSRI Sertraline combined with NSAID/Aspirin Indomethacin increases risk of gastrointestinal bleeding.
Sertraline,Piroxicam,Moderate,SSRI Sertraline combined with NSAID/Aspirin Piroxicam increases risk of gastrointestinal bleeding.
Fluoxetine,Aspirin,Moderate,SSRI Fluoxetine combined with NSAID/Aspirin Aspirin increases risk of gastrointestinal bleeding.
Fluoxetine,Ibuprofen,Moderate,SSRI Fluoxetine combined with NSAID/Aspirin Ibuprofen increases risk of gastrointestinal bleeding.
Fluoxetine,Naproxen,Moderate,SSRI Fluoxetine combined with NSAID/Aspirin Naproxen increases risk of gastrointestinal bleeding.
Fluoxetine,Diclofenac,Moderate,SSRI Fluoxetine combined with NSAID/Aspirin Diclofenac increases risk of gastrointestinal bleeding.
Fluoxetine,Celecoxib,Moderate,SSRI Fluoxetine combined with NSAID/Aspirin Celecoxib increases risk of gastrointestinal bleeding.
